Processor,Rating,Antutu_Score,Geekbench_Min,Geekbench_Max,Cores,Clock_Speed
Qualcomm Snapdragon 8 Elite (Gen 4),98,2758993,3155,9723,8,4320
A18 Pro,97,1793917,3582,9089,6,4050
Apple A18,96,1673813,3466,8592,6,4050
MediaTek Dimensity 9300 Plus,93,2094061,2302,7547,8,3400
Qualcomm Snapdragon 8 Gen 3,93,2052774,2193,7304,8,3300
A17 Pro,93,1533780,2953,7441,6,3780
MediaTek Dimensity 9300,92,2070127,2239,7538,8,3250
A16 Bionic,89,1445704,2627,6838,6,3460
Exynos 2400,87,1760700,2196,6964,10,3210
Exynos 2400e,86,1775443,2099,6414,10,3110
MediaTek Dimensity 8400,81,1612212,1571,6033,8,3250
Qualcomm Snapdragon 8 Gen 2,81,1554146,1991,5299,8,3200
A15 Bionic,81,1300748,2332,5736,6,3230
MediaTek Dimensity 9200 Plus,79,1489987,2090,5532,8,3350
MediaTek Dimensity 9200,79,1482965,1949,5281,8,3050
Qualcomm Snapdragon 8s Gen 3,77,1494441,2019,5570,8,3000
Qualcomm Snapdragon 7 Plus Gen 3,75,1407086,1913,5098,8,2800
MediaTek Dimensity 8300,72,1404566,1398,4293,8,3350
A14 Bionic,71,1091814,2079,4779,6,3100
Google Tensor G4,70,1125355,2005,4835,8,3100
Qualcomm Snapdragon 8 Plus Gen 1,70,1297521,1767,4591,8,3200
Google Tensor G3,66,1152535,1760,4442,9,2910
MediaTek Dimensity 9000 Plus,65,1114121,1647,4481,8,3200
Qualcomm Snapdragon 8 Gen 1,64,1174740,1661,4002,8,3000
A13 Bionic,63,898234,1748,4161,6,2650
Qualcomm Snapdragon 7 Plus Gen 2,62,1124100,1697,4404,8,2910
Exynos 2200,62,1131544,1582,3669,8,2800
MediaTek Dimensity 9000,62,1097617,1585,4169,8,3050
Kirin 9020,61,1248520,1603,5129,12,2500
Qualcomm Snapdragon 888 Plus,57,961175,1550,3887,8,2995
Google Tensor G2,56,930436,1439,3802,8,2850
Google Tensor,55,908052,1317,3208,8,2800
Qualcomm Snapdragon 888,55,912422,1427,3423,8,2840
MediaTek Dimensity 8200,54,929083,1224,3891,8,3100
Kirin 9000,54,901517,1262,3507,8,3130
Kirin 9010,53,945358,1421,4323,12,2300
Exynos 2100,53,900997,1356,3348,8,2900
Exynos 1580,52,841545,1360,3893,8,2900
MediaTek Dimensity 8100,52,855531,1140,3624,8,2850
Qualcomm Snapdragon 870,51,820285,1141,3317,8,3200
MediaTek Dimensity 7350,50,753533,1195,2622,8,3000
Qualcomm Snapdragon 7 Gen 3,50,816673,1139,3375,8,2630
MediaTek Dimensity 8000,50,863025,1112,3498,8,2750
A12 Bionic,49,695079,1292,2837,6,2490
Qualcomm Snapdragon 7s Gen 3,48,750366,1178,3146,8,2500
MediaTek Dimensity 7200 Ultra,48,754511,1128,2710,8,2800
MediaTek Dimensity 8050,48,762220,1097,3359,8,3000
MediaTek Dimensity 7200,48,717380,1187,2643,8,2800
MediaTek Dimensity 1300,48,756399,1242,3444,8,3000
MediaTek Dimensity 1100,48,746777,1104,3321,8,2600
MediaTek Dimensity 1200,48,754082,1113,3172,8,3000
Qualcomm Snapdragon 865 Plus,48,737495,1162,3276,8,3100
Exynos 1480,47,727612,1168,3503,8,2750
Kirin 9000S,47,823241,1324,4116,8,2620
MediaTek Dimensity 8020,47,742480,1122,3681,8,2600
Qualcomm Snapdragon 865,47,755084,1117,3274,8,2840
MediaTek Dimensity 7300,45,677311,1058,3025,8,2500
Qualcomm Snapdragon 782G,44,674056,1119,2820,8,2700
Qualcomm Snapdragon 7 Gen 1,44,675377,964,2761,8,2400
Exynos 990,44,737285,840,2670,8,2730
Kirin 990 (5G),44,714339,964,3146,8,2860
Qualcomm Snapdragon 778G Plus,43,634727,1064,3006,8,2500
Qualcomm Snapdragon 780G,43,633483,1040,2743,8,2400
Qualcomm Snapdragon 860,43,643690,988,2560,8,2960
MediaTek Dimensity 1000 Plus,43,582561,1031,3123,8,2600
Qualcomm Snapdragon 855 Plus,43,618133,1031,2864,8,2960
Qualcomm Snapdragon 855,43,614038,930,2834,8,2840
Qualcomm Snapdragon 6 Gen 3,42,620769,1017,2910,8,2400
Qualcomm Snapdragon 7s Gen 2,42,606781,1012,2943,8,2400
Qualcomm Snapdragon 778G,42,597653,1017,2841,8,2400
Kirin 8000,41,653311,999,2948,8,2400
Exynos 1380,41,599184,999,2758,8,2400
MediaTek Dimensity 7030,40,539061,1024,2412,8,2500
Qualcomm Snapdragon 6 Gen 1,40,558590,943,2748,8,2200
MediaTek Dimensity 7050,40,587502,956,2343,8,2600
MediaTek Dimensity 1080,40,544545,965,2409,8,2600
MediaTek Dimensity 920,40,545815,926,2310,8,2500
Exynos 9825,40,656151,669,2354,8,2730
A11 Bionic,40,486501,1087,2346,6,2390
Exynos 9820,39,615347,741,2317,8,2730
MediaTek Dimensity 7025,38,474357,1024,2472,8,2500
MediaTek Dimensity 930,38,464386,920,2325,8,2200
